// ORDER 1 By customer 1
abc00001,01/01/2000 15:15:15,000b1c16-4606-4728-be39-a2ecb256a698
abc00001,01/01/2000 15:15:15,000b1c16-4606-4728-be39-a2ecb256a698
abc00001,01/01/2000 15:15:15,000b1c16-4606-4728-be39-a2ecb256a698

// order 2 by customer 2
abc00002,01/01/2000 14:20:15,cdd15ee0-a560-4aa2-be61-fe5ec82ab3b0

// order 3 by customer 3
abc00003,01/01/2000 15:15:15,24220777-917a-462c-9f92-2abce1b95d44
abc00003,01/01/2000 15:15:15,24220701-917a-462c-9f92-2abce1b95d44

// order 4 by customer 2 again
abc00002,12/01/2000 20:15:15,cdd15ee5-a560-4aa2-be61-fe5ec82ab3b0
abc00002,11/01/2000 20:15:15,000b1c86-4606-4728-be39-a2ecb256a698
